Discounted Return,Simulation,Steps Alive,Time,Undiscounted Return
635.6068036185586,0,17,33.12294316291809,982.0
602.2487176898924,1,19,38.09729194641113,980.0
707.610774281043,2,13,6.071521043777466,986.0
-664.8875248098508,3,17,5.2447850704193115,-1018.0
540.3923889457899,4,23,44.466837882995605,976.0
-537.5576361164607,5,26,7.002223014831543,-1027.0
540.3923889457899,6,23,53.47668194770813,976.0
-183.90290627047503,7,75,28.07551598548889,-1076.0
602.2487176898924,8,19,36.86985898017883,980.0
602.2487176898924,9,19,27.392385005950928,980.0
193.28556874136203,10,59,100.97089195251465,940.0
635.6068036185586,11,17,38.41420006752014,982.0
602.2487176898924,12,19,34.85192513465881,980.0
-39.99987283492824,13,500,1480.1368238925934,-500.0
-805.1823237364478,14,9,3.162842035293579,-1010.0
570.5376872539538,15,21,37.658348083496094,978.0
670.6974923009166,16,15,17.789884090423584,984.0
-805.1823237364478,17,9,1.9934921264648438,-1010.0
570.5376872539538,18,21,36.61482787132263,978.0
707.610774281043,19,13,3.978113889694214,986.0
570.5376872539538,20,21,43.59943103790283,978.0
-886.7329613183592,21,5,2.0829780101776123,-1006.0
670.6974923009166,22,15,5.321778059005737,984.0
540.3923889457899,23,23,46.85011887550354,976.0
540.3923889457899,24,23,7.959691047668457,976.0
