Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
0,5,1,1,0,-1
1,6,1,2,0,-1
0,6,2,3,0,-1
0,6,3,4,0,-1
0,6,4,5,0,-1
0,6,5,4,0,-1
3,5,5,5,0,-1
3,4,5,5,1,-1
3,3,5,6,1,-1
0,3,6,6,2,-1
3,2,6,6,1,-1
3,1,6,6,2,-1
3,0,6,6,3,-1
2,0,5,7,3,-1
2,0,4,6,3,-1
0,0,5,6,2,-1
0,0,6,6,3,-1
2,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
0,0,6,6,1,-1
0,0,7,6,2,-1
0,0,8,6,1,-1
2,0,7,6,2,-1
2,0,6,7,2,-1
2,0,5,6,2,-1
0,0,6,6,1,-1
2,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
1,1,5,6,1,-1
0,1,6,6,2,-1
3,0,6,6,1,-1
2,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
0,0,6,6,1,-1
2,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,5,1,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
2,0,4,7,2,-1
0,0,5,6,2,-1
1,1,5,6,1,-1
0,1,6,6,2,-1
3,0,6,6,1,-1
2,0,5,6,2,-1
0,0,6,6,1,-1
2,0,5,6,2,-1
1,1,5,7,2,-1
3,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,2,-1
0,0,6,6,1,-1
0,0,7,6,2,-1
2,0,6,6,1,-1
2,0,5,6,2,-1
1,1,5,6,3,-1
3,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,2,-1
0,0,6,6,1,-1
2,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,0,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
0,0,6,6,1,-1
2,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,5,1,-1
1,1,5,6,1,-1
3,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,0,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,2,-1
0,0,6,6,1,-1
0,0,7,6,2,-1
2,0,6,6,1,-1
2,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,2,-1
0,0,6,6,1,-1
2,0,5,6,2,-1
0,0,6,6,1,-1
2,0,5,6,2,-1
0,0,6,6,1,-1
0,0,7,6,2,-1
2,0,6,6,1,-1
0,0,7,6,2,-1
2,0,6,7,2,-1
2,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
0,0,6,6,3,-1
2,0,5,7,3,-1
1,1,5,6,3,-1
3,0,5,6,2,-1
0,0,6,6,1,-1
0,0,7,6,2,-1
2,0,6,6,1,-1
2,0,5,6,2,-1
1,1,5,6,1,-1
0,1,6,6,2,-1
2,1,5,6,1,-1
3,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,0,-1
0,0,6,6,1,-1
2,0,5,6,2,-1
2,0,4,6,3,-1
0,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,2,-1
0,0,6,6,1,-1
2,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
2,0,4,6,1,-1
0,0,5,5,1,-1
2,0,4,6,1,-1
0,0,5,6,2,-1
1,1,5,6,1,-1
3,0,5,6,2,-1
0,0,6,6,1,-1
2,0,5,6,2,-1
1,1,5,6,3,-1
3,0,5,7,3,-1
2,0,4,7,2,-1
0,0,5,8,2,-1
